run_id,bundle_id,dataset_id,gate,ceiling,ceiling_rank,final_claim,is_active_ceiling
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,label_audit,E1,1,E1,True
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,leakage_audit,E1,1,E1,True
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,threshold_policy,E4,5,E1,False
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,failure_status,E1,1,E1,True
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,hardware_evidence,E4,5,E1,False
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,track_consistency,E4,5,E1,False
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,dataset_tier,E2-PI,3,E2-PI,True
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,split_policy,E2-PI,3,E2-PI,True
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,label_audit,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,leakage_audit,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,threshold_policy,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,failure_status,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,hardware_evidence,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,szcore_bridge_demo:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,track_consistency,E4,5,E2-PI,False
